,true_production,hybrid_forecast
2578,540.6,927.981163996752
2579,535.15,935.4829542509895
2580,535.06,933.0013542509894
2581,568.68,957.0461446356047
2582,602.67,1038.4217046454364
2583,598.36,1043.4034075940217
2584,607.86,1042.976136654863
2585,629.6,1018.1932503546859
2586,627.77,1024.219100354686
2587,234.46,705.3963112591885
2588,609.25,1042.4478116548632
2589,647.22,753.3070918236241
2590,692.56,777.6905090369661
2591,700.39,733.1706898306172
2592,702.03,733.1706898306172
2593,693.27,694.3328880914862
2594,680.44,212.42397259188752
2595,682.66,218.98965513734208
2596,675.99,557.4155549209687
2597,672.57,194.33821368966053
2598,672.09,188.96876630020105
2599,661.69,188.96876630020105
2600,680.31,200.44498057277744
2601,674.56,189.15058591558568
2602,688.83,189.15058591558568
2603,680.55,189.15058591558568
2604,682.74,200.44498057277744
2605,680.77,658.6916109529385
2606,666.48,218.98965513734208
2607,675.33,664.3686109529386
2608,714.27,658.6916109529385
2609,712.93,670.5179109529386
2610,719.97,670.5179109529386
2611,665.36,549.511087985709
2612,726.33,218.98965513734208
2613,723.42,313.0377112219004
2614,711.93,224.45090968279663
2615,707.58,224.95302039708235
2616,701.27,212.42397259188752
2617,697.71,206.0992047055845
2618,689.14,189.15058591558568
2619,684.0,188.89657607463715
2620,678.74,212.46105436206403
2621,667.44,194.7696121493706
2622,663.26,189.46304960606184
2623,610.09,256.0285892893453
2624,600.23,206.94996687639042
2625,592.41,200.44498057277744
2626,585.18,218.98965513734208
2627,580.8,188.96876630020105
2628,579.91,188.82691803892283
2629,571.4,189.15058591558568
2630,566.97,200.44498057277744
2631,571.98,188.96876630020105
2632,577.12,189.15058591558568
2633,577.31,188.96876630020105
2634,571.51,188.82691803892283
2635,565.63,188.96876630020105
2636,558.57,188.82691803892283
2637,554.05,188.96876630020105
2638,544.54,188.51802450953988
2639,555.11,188.85442524162775
2640,544.61,186.41107363802442
2641,533.85,188.77088919302844
2642,531.46,186.41107363802442
2643,531.27,187.4071148270899
2644,525.84,186.46187129962024
2645,527.99,186.46187129962024
2646,529.55,186.46187129962024
2647,521.22,186.46187129962024
2648,515.53,186.41107363802442
2649,506.25,186.5829939186679
2650,510.38,186.48622634235528
2651,507.31,186.46187129962024
2652,499.8,186.48622634235528
2653,504.14,186.78858539797713
2654,500.32,186.85831465170847
2655,501.26,186.48622634235528
2656,501.1,186.48622634235528
2657,499.86,186.85831465170847
2658,493.68,186.48622634235528
2659,496.73,185.50439777092672
2660,502.27,193.27903268688868
2661,501.07,186.48622634235528
2662,496.79,186.48622634235528
2663,496.05,186.48622634235528
2664,484.62,186.48622634235528
2665,483.49,185.50439777092672
2666,482.3,186.48622634235528
2667,323.16,194.7154269665727
2668,0.0,-1.5585901693832167
2669,0.0,-1.5585901693832167
2670,0.0,-1.5585901693832167
2671,0.0,-1.5585901693832167
2672,499.83,503.0522682829982
2673,469.31,322.8370551707657
2674,442.93,322.8370551707657
2675,429.99,312.47403715362987
2676,413.54,309.8207371536299
2677,429.77,312.47403715362987
2678,415.64,312.47403715362987
2679,412.74,309.8207371536299
2680,409.37,309.8207371536299
2681,409.62,305.8964525382453
2682,408.28,309.8207371536299
2683,409.62,312.47403715362987
2684,415.13,322.8370551707657
2685,411.61,312.47403715362987
2686,400.78,322.8370551707657
2687,414.94,322.8370551707657
2688,418.98,322.8370551707657
2689,414.92,322.8370551707657
2690,431.6,322.8370551707657
2691,419.13,331.5995385040991
2692,401.25,322.8370551707657
2693,424.75,331.5995385040991
2694,350.77,611.673831956518
2695,426.96,331.5995385040991
2696,426.3,352.21273096441666
2697,423.33,358.1879559644167
2698,424.5,352.21273096441666
2699,419.13,331.5995385040991
2700,417.56,356.76913096441666
2701,416.21,362.72630037833613
2702,385.85,362.72630037833613
2703,391.95,352.21273096441666
2704,408.03,352.21273096441666
2705,404.51,352.21273096441666
2706,402.23,328.12372458468514
2707,399.95,352.21273096441666
2708,397.87,358.1879559644167
2709,399.04,402.3917977421945
2710,393.22,358.1879559644167
2711,400.26,331.5995385040991
2712,399.08,352.21273096441666
2713,400.33,358.1879559644167
2714,395.79,358.1879559644167
2715,347.6,360.47554254357823
2716,387.47,352.21273096441666
2717,385.64,358.1879559644167
2718,396.94,352.21273096441666
2719,392.73,356.76913096441666
2720,394.25,356.76913096441666
2721,382.11,358.1879559644167
2722,382.77,358.1879559644167
2723,380.09,402.3917977421945
2724,379.88,248.41588655614
2725,375.3,188.41634470868638
2726,370.78,204.55162099745033
2727,391.93,188.34864874909042
2728,342.9,188.34864874909042
2729,342.74,188.51802450953988
2730,372.18,188.34864874909042
2731,316.07,198.82039695943777
2732,365.26,205.01661197542887
2733,389.73,189.80796481964933
2734,393.43,188.96876630020105
2735,375.46,205.51223715219652
2736,376.81,198.07315501192952
2737,390.01,188.96876630020105
2738,394.87,188.34864874909042
2739,363.73,188.84657578990854
2740,357.88,186.41107363802442
2741,348.14,186.46187129962024
2742,322.03,186.48622634235528
2743,319.06,186.85831465170847
2744,335.83,188.47817007071984
2745,393.73,186.41107363802442
2746,390.97,186.41107363802442
2747,399.34,186.41107363802442
2748,401.44,188.51802450953988
2749,400.74,193.71177357072705
2750,398.69,186.41107363802442
2751,394.48,188.85442524162775
2752,406.6,188.77088919302844
2753,389.28,186.85831465170847
2754,400.07,186.48622634235528
2755,389.2,186.48622634235528
2756,390.2,186.48622634235528
2757,386.75,185.50439777092672
2758,382.54,185.40421027092668
2759,379.98,185.40421027092668
2760,377.07,186.1801004073692
2761,373.94,186.1801004073692
2762,370.09,186.1801004073692
2763,367.12,186.1801004073692
2764,361.85,186.1801004073692
2765,360.29,186.1801004073692
2766,361.4,186.1801004073692
2767,355.13,186.1801004073692
2768,371.07,186.1801004073692
2769,365.87,186.1801004073692
2770,369.25,185.99967151309963
2771,367.88,186.1801004073692
2772,155.48,145.45067046966676
2773,413.59,185.40421027092668
2774,384.79,185.50439777092672
2775,377.79,186.48622634235528
2776,371.78,186.48622634235528
2777,368.62,185.50439777092672
2778,366.55,185.99967151309963
2779,361.65,186.1801004073692
2780,364.64,186.1801004073692
2781,359.13,186.1801004073692
2782,356.43,186.1801004073692
2783,351.17,186.1801004073692
2784,349.4,186.1801004073692
2785,345.58,186.1801004073692
2786,344.54,193.27903268688868
2787,341.77,186.1801004073692
2788,340.83,186.1801004073692
2789,337.53,186.1801004073692
2790,329.95,187.2234601521384
2791,332.55,193.27903268688868
2792,330.81,191.81393968693467
2793,330.63,191.81393968693467
2794,328.02,191.81393968693467
2795,326.82,187.2234601521384
2796,319.9,192.54002457065556
2797,225.77,475.54489007963423
2798,254.52,349.59667782098626
2799,323.41,192.54002457065556
2800,318.97,192.54002457065556
2801,320.53,192.54002457065556
2802,322.82,187.2234601521384
2803,323.93,187.2234601521384
